"","Data","Measure_Code","Measure_ItemName_ENG","Measure_SortOrder","Measure_Hierarchy","Measure_ItemNotes_ENG","Period_Code","Period_ItemName_ENG","Period_SortOrder","Period_Hierarchy","Period_ItemNotes_ENG","Transactionvalue_Code","Transactionvalue_ItemName_ENG","Transactionvalue_SortOrder","Transactionvalue_Hierarchy","Transactionvalue_ItemNotes_ENG","PartitionKey"
"11",12.9,"D","Tax due (£ million)","102","0","","202223Q2","July to September 2022-23 (to date)","520","202223","This only represents the quarter to date.","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"12",354,"V","Property value taxed (£ million)","103","0","","202223Q2","July to September 2022-23 (to date)","520","202223","This only represents the quarter to date.","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"13",460,"C","Number of transactions","101","0","","202223Jun","June 2022-23","513","202223Q1","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"14",14.6,"D","Tax due (£ million)","102","0","","202223Jun","June 2022-23","513","202223Q1","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"15",319,"V","Property value taxed (£ million)","103","0","","202223Jun","June 2022-23","513","202223Q1","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"16",560,"C","Number of transactions","101","0","","202223May","May 2022-23","512","202223Q1","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"17",8.4,"D","Tax due (£ million)","102","0","","202223May","May 2022-23","512","202223Q1","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"18",262,"V","Property value taxed (£ million)","103","0","","202223May","May 2022-23","512","202223Q1","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"19",450,"C","Number of transactions","101","0","","202223Aug","August 2022-23","522","202223Q2","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"20",6.1,"D","Tax due (£ million)","102","0","","202223Aug","August 2022-23","522","202223Q2","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"21",169,"V","Property value taxed (£ million)","103","0","","202223Aug","August 2022-23","522","202223Q2","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"22",490,"C","Number of transactions","101","0","","202223Jul","July 2022-23","521","202223Q2","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"23",6.8,"D","Tax due (£ million)","102","0","","202223Jul","July 2022-23","521","202223Q2","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"24",184,"V","Property value taxed (£ million)","103","0","","202223Jul","July 2022-23","521","202223Q2","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"25",2490,"C","Number of transactions","101","0","","202223","2022-23 (to date)","500","","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"26",42.3,"D","Tax due (£ million)","102","0","","202223","2022-23 (to date)","500","","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"27",1106,"V","Property value taxed (£ million)","103","0","","202223","2022-23 (to date)","500","","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"28",530,"C","Number of transactions","101","0","","202223Apr","April 2022-23","511","202223Q1","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"29",6.3,"D","Tax due (£ million)","102","0","","202223Apr","April 2022-23","511","202223Q1","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"30",172,"V","Property value taxed (£ million)","103","0","","202223Apr","April 2022-23","511","202223Q1","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"31",1660,"C","Number of transactions","101","0","","202122Q4","January to March 2021-22","440","202122","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"32",33.9,"D","Tax due (£ million)","102","0","","202122Q4","January to March 2021-22","440","202122","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"33",870,"V","Property value taxed (£ million)","103","0","","202122Q4","January to March 2021-22","440","202122","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"34",550,"C","Number of transactions","101","0","","202122Sep","September 2021-22","423","202122Q2","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"35",10.5,"D","Tax due (£ million)","102","0","","202122Sep","September 2021-22","423","202122Q2","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"36",260,"V","Property value taxed (£ million)","103","0","","202122Sep","September 2021-22","423","202122Q2","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"37",1630,"C","Number of transactions","101","0","","202122Q2","July to September 2021-22","420","202122","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"38",30.7,"D","Tax due (£ million)","102","0","","202122Q2","July to September 2021-22","420","202122","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"39",787,"V","Property value taxed (£ million)","103","0","","202122Q2","July to September 2021-22","420","202122","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"40",1720,"C","Number of transactions","101","0","","202122Q3","October to December 2021-22","430","202122","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"41",32.9,"D","Tax due (£ million)","102","0","","202122Q3","October to December 2021-22","430","202122","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"42",859,"V","Property value taxed (£ million)","103","0","","202122Q3","October to December 2021-22","430","202122","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"43",580,"C","Number of transactions","101","0","","202122Oct","October 2021-22","431","202122Q3","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"44",9,"D","Tax due (£ million)","102","0","","202122Oct","October 2021-22","431","202122Q3","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"45",260,"V","Property value taxed (£ million)","103","0","","202122Oct","October 2021-22","431","202122Q3","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"46",1650,"C","Number of transactions","101","0","","202122Q1","April to June 2021-22","410","202122","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"47",33.4,"D","Tax due (£ million)","102","0","","202122Q1","April to June 2021-22","410","202122","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"48",891,"V","Property value taxed (£ million)","103","0","","202122Q1","April to June 2021-22","410","202122","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"49",500,"C","Number of transactions","101","0","","202122May","May 2021-22","412","202122Q1","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"50",5,"D","Tax due (£ million)","102","0","","202122May","May 2021-22","412","202122Q1","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"51",159,"V","Property value taxed (£ million)","103","0","","202122May","May 2021-22","412","202122Q1","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"52",560,"C","Number of transactions","101","0","","202122Nov","November 2021-22","432","202122Q3","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"53",10.5,"D","Tax due (£ million)","102","0","","202122Nov","November 2021-22","432","202122Q3","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"54",287,"V","Property value taxed (£ million)","103","0","","202122Nov","November 2021-22","432","202122Q3","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"55",560,"C","Number of transactions","101","0","","202122Jun","June 2021-22","413","202122Q1","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"56",8.6,"D","Tax due (£ million)","102","0","","202122Jun","June 2021-22","413","202122Q1","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"57",248,"V","Property value taxed (£ million)","103","0","","202122Jun","June 2021-22","413","202122Q1","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"58",690,"C","Number of transactions","101","0","","202122Mar","March 2021-22","443","202122Q4","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"59",14.6,"D","Tax due (£ million)","102","0","","202122Mar","March 2021-22","443","202122Q4","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"60",371,"V","Property value taxed (£ million)","103","0","","202122Mar","March 2021-22","443","202122Q4","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"61",460,"C","Number of transactions","101","0","","202122Jan","January 2021-22","441","202122Q4","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"62",10.4,"D","Tax due (£ million)","102","0","","202122Jan","January 2021-22","441","202122Q4","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"63",262,"V","Property value taxed (£ million)","103","0","","202122Jan","January 2021-22","441","202122Q4","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"64",540,"C","Number of transactions","101","0","","202122Jul","July 2021-22","421","202122Q2","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
